gene_id,gc_content,gene_name
ENSG00000277070.1,51.25,LILRP1
ENSG00000275848.1,47.92,KIR2DL4
ENSG00000276676.5,48.88,KIR2DS5
ENSG00000277376.1,49.16,KIR2DP1
ENSG00000276258.1,48.17,KIR2DS2
ENSG00000281935.1,47.07,DNAH10
ENSG00000275946.5,49.33,KIR2DL5B
ENSG00000274861.4,44.33,LILRP2
ENSG00000274193.4,48.10,KIR2DL4
ENSG00000275008.1,48.03,KIR2DL3
ENSG00000274189.4,48.08,KIR2DL4
ENSG00000275599.1,48.80,KIR2DS3
ENSG00000274339.1,56.23,LILRP1
ENSG00000273775.5,48.42,KIR3DL1
ENSG00000274851.1,49.13,KIR2DP1
ENSG00000273688.1,49.29,KIR3DP1
ENSG00000274830.5,48.08,KIR2DL3
ENSG00000277570.1,56.23,LILRP1
ENSG00000274283.5,48.44,KIR3DS1
ENSG00000276306.1,54.23,
ENSG00000274955.4,47.96,KIR2DL4
ENSG00000277078.1,48.94,KIR2DS4
ENSG00000276004.4,47.14,KIR3DL2
ENSG00000275659.5,46.51,KIR3DL1
ENSG00000276084.1,49.00,KIR3DL3
ENSG00000276459.5,48.07,KIR2DL3
ENSG00000276329.5,48.46,KIR3DL1
ENSG00000278248.1,48.30,KIR2DL1
ENSG00000274009.1,54.23,
ENSG00000274942.1,48.90,KIR2DP1
ENSG00000273518.5,48.43,KIR3DL1
ENSG00000278345.1,51.15,
ENSG00000275080.5,48.44,KIR2DL1
ENSG00000276035.1,48.73,KIR3DP1
ENSG00000276001.1,56.23,LILRP1
ENSG00000277964.1,47.86,KIR2DL4
ENSG00000276985.4,47.88,FCAR
ENSG00000275112.1,56.23,LILRP1
ENSG00000274518.1,48.19,KIR2DS2
ENSG00000275436.5,49.41,KIR2DL5B
ENSG00000276013.1,49.18,
ENSG00000274480.1,48.88,KIR3DL3
ENSG00000274945.4,48.07,KIR2DL4
ENSG00000275351.1,49.07,KIR2DS4
ENSG00000275035.2,50.40,CCDC92
ENSG00000277833.4,48.32,KIR2DL1
ENSG00000276357.4,47.07,KIR3DL2
ENSG00000276806.1,48.98,KIR3DL3
ENSG00000275289.4,44.33,LILRP2
ENSG00000262025.1,49.20,
ENSG00000263275.1,45.64,
ENSG00000274826.4,44.33,LILRP2
ENSG00000262299.1,57.45,
ENSG00000273881.1,56.23,LILRP1
ENSG00000277940.1,54.23,
ENSG00000278369.1,48.13,KIR2DL3
ENSG00000262767.1,45.45,GEMIN2P1
ENSG00000261992.2,44.67,GATAD2B
ENSG00000275699.4,48.04,KIR2DL4
ENSG00000274920.5,48.51,KIR3DL1
ENSG00000273887.1,48.01,KIR2DL3
ENSG00000275452.2,47.77,KIR2DS2
ENSG00000276450.1,50.00,NCR1
ENSG00000275970.4,47.88,FCAR
ENSG00000274707.5,49.15,KIR2DL5B
ENSG00000274724.1,49.01,KIR3DL3
ENSG00000276247.4,44.33,LILRP2
ENSG00000263130.1,45.28,
ENSG00000274610.1,45.37,KIR3DP1
ENSG00000263163.5,59.39,SLC27A3
ENSG00000274243.5,48.91,KIR2DS5
ENSG00000276590.5,48.13,KIR2DL3
ENSG00000275269.4,47.88,FCAR
ENSG00000274120.4,44.33,LILRP2
ENSG00000278414.5,49.31,KIR2DL5B
ENSG00000275750.1,48.44,KIR2DL1
ENSG00000275815.1,49.12,KIR2DP1
ENSG00000278327.5,48.03,KIR2DL3
ENSG00000276425.1,48.25,KIR2DS2
ENSG00000281954.1,51.26,
ENSG00000275421.1,48.34,KIR2DS1
ENSG00000275247.1,49.11,
ENSG00000275136.4,47.88,FCAR
ENSG00000277729.1,43.90,
ENSG00000274106.1,40.35,
ENSG00000278304.1,48.37,KIR2DS1
ENSG00000275172.1,48.98,KIR3DL3
ENSG00000277976.1,45.69,KRT18P40
ENSG00000279974.1,39.61,
ENSG00000277963.4,44.33,LILRP2
ENSG00000278780.4,40.92,ZNF430
ENSG00000273517.1,48.35,KIR2DS1
ENSG00000275521.4,50.00,NCR1
ENSG00000277742.1,48.99,KIR3DP1
ENSG00000275938.1,48.99,KIR2DS4
ENSG00000276686.1,49.32,KIR2DL5A
ENSG00000274556.1,49.00,KIR3DL3
ENSG00000278474.4,47.10,KIR3DL2
ENSG00000277317.5,48.17,KIR2DL3
ENSG00000274402.1,48.08,KIR2DL3
ENSG00000276974.1,54.23,
ENSG00000278325.1,56.23,LILRP1
ENSG00000276930.1,49.00,KIR3DL3
ENSG00000278201.4,48.10,KIR2DL4
ENSG00000278710.4,47.08,KIR3DL2
ENSG00000274449.1,38.07,
ENSG00000273528.4,44.33,LILRP2
ENSG00000277551.1,42.99,U6
ENSG00000279318.1,44.35,
ENSG00000273755.5,44.25,LILRP2
ENSG00000278091.4,37.87,ZNF85
ENSG00000290329.1,44.25,
ENSG00000275486.5,48.46,KIR3DL1
ENSG00000277176.5,48.95,KIR3DP1
ENSG00000290379.1,44.02,
ENSG00000278442.4,47.08,KIR3DL2
ENSG00000277193.1,48.77,KIR2DS3
ENSG00000274639.1,49.05,KIR3DL3
ENSG00000276392.1,49.16,KIR2DL5A
ENSG00000278339.1,49.08,KIR2DP1
ENSG00000276099.1,51.68,LILRP1
ENSG00000273578.1,48.25,KIR2DL2
ENSG00000278079.6,48.48,KIR3DL1
ENSG00000273794.4,48.34,KIR2DL1
ENSG00000262994.1,45.61,
ENSG00000278051.1,48.76,KIR3DP1
ENSG00000269823.1,54.13,
ENSG00000278850.4,47.07,KIR3DL2
ENSG00000262710.1,43.14,Y_RNA
ENSG00000276498.5,48.43,KIR3DS1
ENSG00000262469.1,44.12,Y_RNA
ENSG00000276295.1,51.68,Metazoa_SRP
ENSG00000275531.1,51.68,Metazoa_SRP
ENSG00000275288.6,48.51,KIR3DL1
ENSG00000277630.4,36.73,
ENSG00000275321.1,37.22,
ENSG00000280428.1,38.06,BNIP3P24
ENSG00000280030.1,46.35,
ENSG00000275050.4,38.41,ZNF66
ENSG00000275262.4,47.14,KIR3DL2
ENSG00000275245.1,43.90,
ENSG00000276154.1,48.99,KIR2DS4
ENSG00000275225.1,49.12,
ENSG00000277596.1,47.39,KIR3DL3
ENSG00000278856.5,48.43,KIR3DL1
ENSG00000275059.1,49.15,
ENSG00000274563.1,48.96,KIR2DS5
ENSG00000276552.1,42.99,U6
ENSG00000275083.4,47.06,KIR3DL2
ENSG00000278793.1,43.93,U6
ENSG00000277657.1,48.72,KIR2DS3
ENSG00000278329.1,49.12,KIR2DP1
ENSG00000275513.1,48.95,KIR3DL3
ENSG00000274108.5,48.04,KIR2DL3
ENSG00000277356.1,48.41,KIR2DL1
ENSG00000263057.2,40.47,KRT20
ENSG00000278755.1,48.41,KIR2DL1
ENSG00000275795.1,49.17,
ENSG00000274786.1,48.94,KIR3DL3
ENSG00000275937.1,49.41,KIR2DL5B
ENSG00000276324.1,54.23,
ENSG00000277240.1,56.23,LILRP1
ENSG00000262647.3,45.18,OR9G4
ENSG00000273955.1,49.24,KIR2DP1
ENSG00000277885.1,48.15,KIR2DS2
ENSG00000262068.3,39.70,KRTAP3-1
ENSG00000281107.1,41.56,OR5G3
ENSG00000275021.1,42.99,U6
ENSG00000278786.5,48.78,KIR3DP1
ENSG00000276011.1,48.15,KIR2DL2
ENSG00000262268.3,47.71,OR9G3P
ENSG00000290428.1,43.87,
ENSG00000263296.2,48.86,KRTAP3-2
ENSG00000281313.1,45.03,OR5G1P
ENSG00000281279.1,43.16,OR5G4P
ENSG00000277552.1,48.95,KIR3DL3
ENSG00000281777.1,45.45,OR9G2P
ENSG00000262121.2,55.06,KRTAP4-9
ENSG00000273502.4,48.84,KIR3DL3
ENSG00000282429.1,36.99,
ENSG00000278230.1,42.99,U6
ENSG00000261958.1,48.15,OR9G1
ENSG00000277271.5,60.54,
ENSG00000263091.2,57.20,KRTAP2-4
ENSG00000290488.1,47.74,LILRP2
ENSG00000281683.1,52.38,
ENSG00000262191.1,47.93,OR9G9
ENSG00000264450.1,40.46,
ENSG00000281839.1,37.53,LINC02735
ENSG00000262535.6,43.13,OR5G5P
ENSG00000263309.6,41.60,KRT23
ENSG00000290500.1,36.31,
ENSG00000276218.5,48.06,KIR2DL3
ENSG00000274438.1,48.10,KIR2DS2
ENSG00000277362.1,47.92,KIR2DL4
ENSG00000276254.1,48.64,KIR2DS4
ENSG00000273752.1,42.99,U6
ENSG00000273522.1,49.11,KIR2DP1
ENSG00000274788.5,40.09,LILRP2
ENSG00000277750.1,47.88,KIR2DL4
ENSG00000278758.4,47.10,KIR3DL2
ENSG00000275629.4,47.06,KIR3DL2
ENSG00000290532.1,40.09,
ENSG00000278726.4,47.04,KIR3DL2
ENSG00000274947.1,49.08,KIR2DS4
ENSG00000277153.1,42.99,RNU6-222P
ENSG00000276243.4,44.31,LILRP2
ENSG00000278625.1,35.85,U6
ENSG00000274082.1,54.23,
ENSG00000275168.1,42.99,U6
ENSG00000278025.4,50.00,NCR1
ENSG00000280579.1,35.06,
ENSG00000278833.4,43.90,
ENSG00000280708.1,58.18,
ENSG00000277850.4,47.97,KIR2DL4
ENSG00000280271.1,41.52,
ENSG00000279566.1,34.85,ZNF43
ENSG00000281416.1,46.89,
ENSG00000267728.3,50.15,KRTAP9-9
ENSG00000279614.1,51.34,
ENSG00000275974.2,47.12,PPIAL4F
ENSG00000263090.5,51.54,KRTAP9-2
ENSG00000262512.2,50.57,KRTAP9-4
ENSG00000274746.4,38.52,ZNF100
ENSG00000262749.2,49.90,KRTAP9-3
ENSG00000274465.5,48.43,KIR3DS1
ENSG00000280460.1,36.78,
ENSG00000263103.1,61.35,KRTAP9-10P
ENSG00000267635.1,62.86,
ENSG00000274574.1,53.66,U1
ENSG00000273990.1,46.91,RNVU1-26
ENSG00000267208.1,62.15,
ENSG00000262573.2,51.64,KRTAP9-2
ENSG00000273757.1,51.52,RNVU1-2A
ENSG00000263115.1,61.35,KRTAP9-10P
ENSG00000262218.1,52.05,KRTAP29-1
ENSG00000262896.2,50.47,KRTAP9-4
ENSG00000263263.1,50.27,KRTAP9-6
ENSG00000262221.1,51.40,KRTAP9-7
ENSG00000262845.7,41.71,KRT40
ENSG00000262542.1,52.05,KRTAP29-1
ENSG00000279280.1,52.24,CCNYL6
ENSG00000262214.1,59.59,KRTAP9-12P
ENSG00000276999.1,34.05,
ENSG00000262946.1,61.71,KRTAP9-11P
ENSG00000279112.1,43.42,BRI3BPP1
ENSG00000262594.4,49.64,KRTAP9-9
ENSG00000280218.1,41.28,VN1R84P
ENSG00000280066.1,53.80,MTDHP4
ENSG00000277560.1,48.73,KIR3DP1
ENSG00000280830.1,45.50,ADI1
ENSG00000274891.3,48.00,TRAPPC12
ENSG00000275255.5,48.92,KIR3DP1
ENSG00000274912.1,49.20,KIR2DP1
ENSG00000275416.4,47.07,KIR3DL2
ENSG00000290508.1,43.86,
ENSG00000276395.1,48.64,KIR2DS4
ENSG00000276310.1,48.42,KIR2DL1
ENSG00000276465.1,49.13,KIR2DS4
ENSG00000262808.2,52.49,KRTAP1-1
ENSG00000262731.3,63.90,
ENSG00000263229.4,52.80,KRTAP4-11
ENSG00000277392.1,48.99,KIR3DL3
ENSG00000262487.1,41.12,
ENSG00000262376.1,58.84,KRTAP2-5P
ENSG00000262347.2,52.88,KRTAP1-3
ENSG00000280770.1,41.80,
ENSG00000281723.1,44.96,
ENSG00000262520.1,63.14,KRTAP4-16
ENSG00000263243.2,43.25,KRT12
ENSG00000274708.1,42.99,U6
ENSG00000276212.5,51.04,KIR3DP1
ENSG00000290528.1,45.40,
ENSG00000273929.1,42.99,U6
ENSG00000278573.1,43.73,
ENSG00000277028.1,48.97,KIR3DL3
ENSG00000261862.2,48.94,KRTAP1-5
ENSG00000277196.4,58.96,
ENSG00000262164.6,42.38,KRT39
ENSG00000275353.1,48.99,KIR2DS4
ENSG00000282507.1,49.62,
ENSG00000277442.4,50.00,NCR1
ENSG00000275456.1,47.84,KIR2DL4
ENSG00000262616.1,57.14,KRTAP3-4P
ENSG00000278809.4,47.00,KIR3DL2
ENSG00000261852.3,62.63,KRTAP2-1
ENSG00000276808.1,54.23,
ENSG00000278190.1,42.99,U6
ENSG00000263101.2,48.58,KRTAP3-3
ENSG00000262862.2,55.43,KRTAP2-3
ENSG00000282534.1,57.27,IMPDH1P5
ENSG00000263236.2,55.25,KRTAP4-12
ENSG00000274429.2,50.00,DLG5
ENSG00000263242.2,64.22,KRTAP1-4
ENSG00000278368.5,48.51,KIR3DL1
ENSG00000266286.2,55.32,
ENSG00000282469.1,45.32,LINC00254
ENSG00000261968.3,52.98,KRTAP4-8
ENSG00000276333.2,64.06,HS3ST6
ENSG00000282650.1,46.71,MEIOB
ENSG00000278495.4,48.33,KIR2DL1
ENSG00000276882.4,47.09,KIR3DL2
ENSG00000282069.1,48.79,LINC02124
ENSG00000281763.2,34.84,DHX36
ENSG00000281738.1,47.31,LINC01839
ENSG00000281250.1,44.90,LINC02054
ENSG00000278817.1,57.94,
ENSG00000282329.1,51.76,MREGP1
ENSG00000275428.2,38.92,
ENSG00000276017.1,60.52,
ENSG00000281651.1,59.58,KCNQ2-AS1
ENSG00000275637.4,50.00,NCR1
ENSG00000282391.1,47.56,
ENSG00000276371.2,41.46,SINHCAF
ENSG00000281151.2,61.54,KCNQ2
ENSG00000277101.4,38.95,ARHGEF26
ENSG00000278411.1,42.99,U6
ENSG00000281020.2,42.30,SNTG2
ENSG00000278140.1,42.99,U6
ENSG00000277603.4,48.27,TPO
ENSG00000276625.4,48.40,KIR2DL1
ENSG00000275047.1,48.82,KIR2DS5
ENSG00000277375.1,49.24,KIR2DP1
ENSG00000275511.4,47.11,KIR3DL2
ENSG00000282388.1,57.10,
ENSG00000263322.1,36.18,
ENSG00000282112.1,75.98,DSEL-AS1
ENSG00000275317.4,47.85,KIR2DL4
ENSG00000282551.1,42.62,
ENSG00000262102.1,41.51,DSEL
ENSG00000282176.1,65.13,FLJ13224
ENSG00000281496.1,46.92,
ENSG00000276938.3,44.03,FAM157A
ENSG00000282220.1,38.85,
ENSG00000279612.1,41.48,
ENSG00000267237.4,40.44,
ENSG00000281577.1,57.76,
ENSG00000267639.3,61.55,
ENSG00000275306.1,48.28,KIR2DS1
ENSG00000281503.1,56.52,
ENSG00000274706.1,42.99,RNU6-821P
ENSG00000278747.1,39.42,U6
ENSG00000281513.1,42.73,
ENSG00000281081.1,50.16,
ENSG00000281062.3,49.22,
ENSG00000290324.1,47.87,
ENSG00000278403.4,47.09,KIR3DL2
ENSG00000281157.2,44.32,ARHGEF26-AS1
ENSG00000281617.3,36.66,
ENSG00000278116.1,49.16,KIR2DL5A
ENSG00000281464.1,41.52,
ENSG00000275051.2,42.77,PIWIL1
ENSG00000290333.1,36.88,ANKRD18DP
ENSG00000275500.1,48.78,
ENSG00000281048.2,49.95,
ENSG00000276327.1,48.30,KIR2DS1
ENSG00000274681.2,50.93,SUDS3P1
ENSG00000274597.1,42.99,U6
ENSG00000280635.1,53.75,PROP1
ENSG00000277835.5,48.62,KIR3DP1
ENSG00000277354.1,74.36,CRIM1
ENSG00000275495.4,42.99,
ENSG00000290403.1,43.85,
ENSG00000278476.1,44.24,RPL21P36
ENSG00000279215.1,43.51,CRIM1-DT
ENSG00000290534.1,45.66,
ENSG00000281104.1,53.24,
ENSG00000281870.1,55.08,
ENSG00000280892.1,54.31,
ENSG00000275671.1,42.99,U6
ENSG00000273918.1,54.23,
ENSG00000274957.1,48.99,KIR2DS4
ENSG00000278614.1,49.17,KIR2DP1
ENSG00000277567.1,42.99,U6
ENSG00000282103.1,47.51,DLGAP2
ENSG00000275751.5,48.73,KIR3DP1
ENSG00000278430.4,47.98,KIR2DL4
ENSG00000290470.1,43.89,
ENSG00000282347.1,61.74,
ENSG00000282245.1,56.65,
ENSG00000282665.1,55.83,ERICH1
ENSG00000281914.1,64.63,
ENSG00000276086.1,48.86,KIR3DL3
ENSG00000275737.1,48.09,KIR2DS2
ENSG00000262679.1,53.45,APOBEC3B-AS1
ENSG00000262536.1,40.00,
ENSG00000280759.2,53.71,AP2A2
ENSG00000262156.4,55.25,APOBEC3A
ENSG00000278481.1,49.21,KIR2DL5B
ENSG00000278229.2,49.90,RPS17
ENSG00000282352.1,38.43,ZNF965P
ENSG00000282037.1,34.08,GXYLT1P1
ENSG00000282782.1,52.38,CYP4F34P
ENSG00000277163.1,48.77,KIR2DS3
ENSG00000277428.1,38.61,Y_RNA
ENSG00000276256.1,37.57,
ENSG00000282611.1,58.53,CNN2P12
ENSG00000282677.1,51.35,SNX18P26
ENSG00000282536.1,52.97,LINC00328-2P
ENSG00000278086.1,48.78,
ENSG00000282715.1,36.82,ANKRD20A9P
ENSG00000278853.1,40.19,RNU6-55P
ENSG00000252379.2,44.23,U6
ENSG00000277540.4,43.64,KIR2DL4
ENSG00000262453.1,49.86,
ENSG00000273603.1,48.44,KIR2DS1
ENSG00000281232.1,54.43,
ENSG00000275596.1,49.31,KIR2DL5A
ENSG00000273922.4,44.33,LILRP2
ENSG00000281149.1,67.54,
ENSG00000280986.1,60.01,LINC01659
ENSG00000275608.5,48.43,KIR3DS1
ENSG00000281374.1,56.46,
ENSG00000263270.5,37.91,
ENSG00000274657.2,41.16,FAM230I
ENSG00000282233.1,47.11,
ENSG00000281254.1,38.41,
ENSG00000282753.1,46.40,
ENSG00000282596.1,58.18,DNM1P38
ENSG00000281173.1,56.30,ABCB10P1
ENSG00000282649.1,51.04,SEPTIN9-DT
ENSG00000282770.1,48.35,DLG5-AS1
ENSG00000282302.4,54.73,SEPTIN9
ENSG00000281077.1,58.61,LINC02557
ENSG00000282690.1,51.10,
ENSG00000281076.3,63.79,ZDHHC8P1
ENSG00000290491.1,62.79,
ENSG00000276516.1,53.82,RN7SL284P
ENSG00000276274.1,39.05,RNU6-1266P
ENSG00000280807.2,45.44,TUBGCP5
ENSG00000278063.1,42.99,U6
ENSG00000275037.5,48.44,KIR3DS1
ENSG00000282734.1,52.07,
ENSG00000277691.5,43.90,
ENSG00000277445.4,41.82,CPEB1
ENSG00000278788.4,62.60,SBNO2
ENSG00000290451.1,43.90,
ENSG00000281997.1,52.82,
ENSG00000282141.1,56.25,
ENSG00000274980.1,36.54,RNU6-1025P
ENSG00000277518.4,61.67,MUC6
ENSG00000280839.3,45.00,CES5AP1
ENSG00000282001.1,41.74,DLGAP2-AS1
ENSG00000282480.1,45.93,
ENSG00000282766.1,42.50,
ENSG00000282152.1,49.21,DLGAP2
ENSG00000290512.1,51.37,
ENSG00000278070.2,53.22,GOLGA8DP
ENSG00000278247.2,51.41,GOLGA6L1
ENSG00000281953.1,48.82,
ENSG00000280679.1,68.60,
ENSG00000280618.2,49.00,CYFIP1
ENSG00000281737.1,41.63,MPHOSPH10P5
ENSG00000281754.1,68.60,
ENSG00000280490.1,34.47,
ENSG00000277046.1,51.72,Metazoa_SRP
ENSG00000278508.4,53.22,GOLGA8DP
ENSG00000276582.1,39.40,ABCB11
ENSG00000276307.1,56.23,LILRP1
ENSG00000273883.4,44.33,LILRP2
ENSG00000281567.1,43.51,SLC25A51P1
ENSG00000278373.4,37.37,G6PC2
ENSG00000277364.2,45.86,ADH5P4
ENSG00000278821.4,48.32,KIR2DL1
ENSG00000290436.1,51.86,
ENSG00000277389.1,61.50,KRTAP5-6
ENSG00000281999.1,68.87,
ENSG00000282044.1,45.45,
ENSG00000280585.1,64.76,KRTAP5-1
ENSG00000278728.2,42.82,CNTNAP2
ENSG00000278620.3,60.26,KRTAP5-4
ENSG00000281725.2,44.63,ELMO2P1
ENSG00000281919.2,41.45,SLC45A2
ENSG00000278302.2,64.97,KRTAP5-5
ENSG00000290446.1,40.06,
ENSG00000277909.4,39.48,SPC25
ENSG00000281261.1,63.16,FAM99A
ENSG00000281633.1,48.82,LINC02708
ENSG00000277069.2,63.88,RXFP3
ENSG00000281176.1,51.82,KRTAP5-AS1
ENSG00000281690.2,40.59,ADAMTS12
ENSG00000262159.1,44.77,RPS6P22
ENSG00000262592.2,46.60,LRIG3-DT
ENSG00000262036.1,43.15,
ENSG00000281012.1,34.47,
ENSG00000277091.1,42.99,U6
ENSG00000281111.1,48.82,
ENSG00000275009.2,51.41,GOLGA6L1
ENSG00000278165.3,64.11,DUSP8
ENSG00000282606.1,44.75,CTDP1-DT
ENSG00000274296.3,56.95,DECR2
ENSG00000273498.4,48.10,KIR2DL4
ENSG00000281949.1,42.64,
ENSG00000282330.1,49.81,
ENSG00000281995.1,57.16,
ENSG00000281942.1,59.04,
ENSG00000277205.1,48.82,U3
ENSG00000274906.1,51.30,Metazoa_SRP
ENSG00000282752.1,52.68,CTDP1
ENSG00000275326.4,41.08,NOSTRIN
ENSG00000280461.1,56.30,ABCB10P1
ENSG00000281829.1,64.86,FAM99B
ENSG00000276856.3,43.35,TUBGCP5
ENSG00000281618.1,60.13,IFITM10
ENSG00000280716.1,42.86,FRG1-DT
ENSG00000275517.4,48.57,PRB1
ENSG00000281191.2,63.29,KRTAP5-3
ENSG00000281830.1,38.88,LINC01596
ENSG00000281533.1,59.30,KRTAP5-2
ENSG00000281916.1,28.85,
ENSG00000276052.1,46.02,RNU1-51P
ENSG00000279389.3,44.42,GARRE1
ENSG00000281758.1,36.92,KCNIP4
ENSG00000281559.1,40.78,
ENSG00000280838.1,36.31,
ENSG00000281470.1,36.56,
ENSG00000278361.4,47.07,KIR3DL2
ENSG00000262860.5,39.90,LSM14A
ENSG00000262892.1,50.28,
ENSG00000278432.1,54.23,
ENSG00000276731.1,48.05,KIR2DL2
ENSG00000262634.5,39.41,SKA1
ENSG00000277894.1,56.23,LILRP1
ENSG00000276279.1,49.19,KIR2DP1
ENSG00000276177.1,49.16,KIR2DL5A
ENSG00000274394.1,48.96,KIR3DL3
ENSG00000275031.2,63.07,METRNL
ENSG00000281945.1,43.12,
ENSG00000262113.1,54.62,
ENSG00000278759.2,55.58,TBCD
ENSG00000282110.1,71.26,MAPK4
ENSG00000262473.5,43.27,GART
ENSG00000282201.1,46.84,
ENSG00000273666.4,44.33,LILRP2
ENSG00000275338.4,53.67,RAB11FIP3
ENSG00000282085.1,33.22,
ENSG00000278277.1,45.39,
ENSG00000282443.1,41.13,
ENSG00000276994.1,54.23,
ENSG00000262132.1,42.02,RNA5SP458
ENSG00000278692.1,48.11,KIR2DL2
ENSG00000275522.4,48.51,KIR2DL1
ENSG00000280784.1,66.52,
ENSG00000280557.1,44.12,GNG5P1
