gene_id,gene_name,gc_content
ENSG00000227634.3,LINC01714,49.78
ENSG00000200975.1,RNU1-7P,55.49
ENSG00000251977.1,RNU6-991P,46.73
ENSG00000162426.16,SLC45A1,52.21
ENSG00000252254.1,Y_RNA,50.44
ENSG00000232912.6,RERE-AS1,44.97
ENSG00000234619.1,RPL7P11,41.49
ENSG00000224315.2,RPL7P7,41.96
ENSG00000222511.2,Y_RNA,33.98
ENSG00000229716.2,RPL23AP19,47.15
ENSG00000074800.16,ENO1,50.15
ENSG00000274258.1,MIR6728,60.67
ENSG00000230679.1,ENO1-AS1,59.53
ENSG00000201725.1,RNU6-304P,42.99
ENSG00000238249.2,HMGN2P17,48.05
ENSG00000131686.15,CA6,48.06
ENSG00000265141.2,RN7SL451P,54.85
ENSG00000142583.18,SLC2A5,47.92
ENSG00000180758.12,GPR157,49.97
ENSG00000284357.1,MIR34A,50.91
ENSG00000049239.13,H6PD,52.29
ENSG00000171621.14,SPSB1,54.29
ENSG00000252956.1,RNA5SP40,53.64
ENSG00000171612.7,SLC25A33,45.52
ENSG00000188807.13,TMEM201,59.34
ENSG00000179840.5,PIK3CD-AS1,55.29
ENSG00000171603.18,CLSTN1,47.19
ENSG00000271264.1,MZT1P1,44.15
ENSG00000178585.15,CTNNBIP1,51.39
ENSG00000162441.12,LZIC,43.89
ENSG00000173614.14,NMNAT1,46.13
ENSG00000202415.1,RN7SKP269,51.41
ENSG00000283611.2,TMEM274P,45.14
ENSG00000265521.1,MIR5697,38.46
ENSG00000162444.12,RBP7,48.33
ENSG00000130939.20,UBE4B,44.12
ENSG00000233623.2,PGAM1P11,54.6
ENSG00000201746.1,RNU6-828P,42.99
ENSG00000199562.1,RNU6-37P,45.79
ENSG00000264501.2,RN7SL731P,52.9
ENSG00000142657.21,PGD,47.54
ENSG00000251503.8,CENPS-CORT,47.92
ENSG00000175279.22,CENPS,46.93
ENSG00000241563.4,CORT,46.8
ENSG00000160049.12,DFFA,48.53
ENSG00000142655.13,PEX14,45.03
ENSG00000243267.3,RN7SL614P,58.57
ENSG00000130940.15,CASZ1,56.73
ENSG00000225158.2,HSPE1P24,42.86
ENSG00000215785.2,CFL1P6,53.05
ENSG00000116649.10,SRM,59.85
ENSG00000171824.14,EXOSC10,46.37
ENSG00000225602.5,MTOR-AS1,45.39
ENSG00000253086.1,RNU6-537P,34.95
ENSG00000171819.5,ANGPTL7,46.39
ENSG00000207451.1,RNU6-291P,40.19
ENSG00000238173.1,RPL39P6,40.67
ENSG00000120942.14,UBIAD1,48.22
ENSG00000238199.1,UBE2V2P3,43.75
ENSG00000224338.2,MTCYBP45,43.01
ENSG00000204624.8,DISP3,52.86
ENSG00000235643.2,LINC01647,52.09
ENSG00000116661.11,FBXO2,55.46
ENSG00000132879.14,FBXO44,54.94
ENSG00000116663.11,FBXO6,55.13
ENSG00000162490.7,DRAXIN,53.41
ENSG00000177674.16,AGTRAP,54.37
ENSG00000177553.6,C1orf167-AS1,57.26
ENSG00000177000.13,MTHFR,54.64
ENSG00000011021.23,CLCN6,48.13
ENSG00000120937.9,NPPB,54.59
ENSG00000224904.1,SBF1P2,61.66
ENSG00000199347.1,RNU5E-1,40
ENSG00000201801.1,RNU5E-4P,33.33
ENSG00000116685.16,KIAA2013,55.79
ENSG00000083444.17,PLOD1,53.54
ENSG00000116688.18,MFN2,50.93
ENSG00000116691.11,MIIP,55.62
ENSG00000202461.1,Y_RNA,45.13
ENSG00000276869.1,MIR6729,75.38
ENSG00000243539.3,RN7SL649P,54.18
ENSG00000120949.15,TNFRSF8,50.54
ENSG00000201135.1,RNU6-777P,38.46
ENSG00000227875.2,RPL23AP89,49.02
ENSG00000283789.1,MIR7846,75
ENSG00000028137.19,TNFRSF1B,55.4
ENSG00000263676.1,MIR4632,70.49
ENSG00000225196.2,RPL10P17,52.22
ENSG00000252969.1,SNORA70,46.77
ENSG00000048707.15,VPS13D,42.34
ENSG00000239149.1,SNORA59A,53.95
ENSG00000162496.9,DHRS3,51.33
ENSG00000221340.1,RNU6ATAC18P,47.52
ENSG00000276830.1,MIR6730,61.19
ENSG00000188984.12,AADACL3,46.11
ENSG00000116726.5,PRAMEF12,49.99
ENSG00000116721.9,PRAMEF1,46.46
ENSG00000228338.1,LINC01784,47.68
ENSG00000239810.3,PRAMEF11,48.02
ENSG00000231103.2,PRAMEF30P,50.32
ENSG00000179172.10,HNRNPCL1,46.06
ENSG00000120952.4,PRAMEF2,47.2
ENSG00000243073.4,PRAMEF4,48.2
ENSG00000187545.5,PRAMEF10,47.85
ENSG00000207434.1,RNU6-1072P,45.79
ENSG00000234064.1,PRAMEF29P,49.04
ENSG00000232423.6,PRAMEF6,47.55
ENSG00000274178.2,PRAMEF28P,50.11
ENSG00000274764.6,PRAMEF27,48.1
ENSG00000229571.7,PRAMEF25,47.51
ENSG00000277862.1,PRAMEF34P,50.59
ENSG00000236179.1,PRAMEF35P,51.9
ENSG00000275774.3,HNRNPCL2,46.09
ENSG00000179412.11,HNRNPCL4,43.95
ENSG00000279169.3,PRAMEF13,46.73
ENSG00000250894.1,PRAMEF31P,50.61
ENSG00000231219.1,PRAMEF32P,49.07
ENSG00000207511.1,RNU6-771P,45.79
ENSG00000237700.2,PRAMEF33,47.9
ENSG00000204501.7,PRAMEF15,48.15
ENSG00000204481.8,PRAMEF14,46.52
ENSG00000204479.4,PRAMEF17,50.17
ENSG00000162494.6,LRRC38,50.14
ENSG00000215909.3,BRWD1P1,53.75
ENSG00000222952.1,RNA5SP41,56.44
ENSG00000189337.17,KAZN,45.46
ENSG00000252151.1,RNU6-1265P,44.66
ENSG00000234593.3,KAZN-AS1,42.04
ENSG00000235829.1,TBCAP2,41.03
ENSG00000175147.13,TMEM51-AS1,49.51
ENSG00000171729.14,TMEM51,48.41
ENSG00000215720.4,MFFP1,45.97
ENSG00000278480.1,ZBTB2P1,53.61
ENSG00000233485.1,FHAD1-AS1,48.02
ENSG00000142634.13,EFHD2,56.77
ENSG00000162438.12,CTRC,51.84
ENSG00000142615.8,CELA2A,48.28
ENSG00000215704.10,CELA2B,48.76
ENSG00000132906.18,CASP9,48.7
ENSG00000116138.13,DNAJC16,44.67
ENSG00000251866.1,SCARNA21B,60.71
ENSG00000116771.6,AGMAT,49.29
ENSG00000235084.3,CHCHD2P6,61.3
ENSG00000252417.1,RNU7-179P,52.94
ENSG00000236500.1,CD24P1,48.89
ENSG00000197312.12,DDI2,42.42
ENSG00000116786.13,PLEKHM2,52.01
ENSG00000162461.8,SLC25A34,58.97
ENSG00000162460.7,TMEM82,58.77
ENSG00000162458.13,FBLIM1,53.53
ENSG00000224321.1,RPL12P14,50.82
ENSG00000116809.12,ZBTB17,51.22
ENSG00000224966.4,TBC1D3P6,62.2
ENSG00000183888.4,SRARP,52.32
ENSG00000173641.18,HSPB7,61.04
ENSG00000186510.12,CLCNKA,59.91
ENSG00000185519.9,FAM131C,57.98
ENSG00000142627.13,EPHA2,57.33
ENSG00000234166.1,ARHGEF19-AS1,49.4
ENSG00000142632.17,ARHGEF19,57.34
ENSG00000132881.12,CPLANE2,54.1
ENSG00000233929.1,MT1XP1,60.75
ENSG00000037637.11,FBXO42,43.86
ENSG00000055070.17,SZRD1,48.1
ENSG00000226457.1,RPL22P3,41.47
ENSG00000187144.11,SPATA21,50.37
ENSG00000157191.20,NECAP2,49.37
ENSG00000226029.1,LINC01772,46.15
ENSG00000206652.1,RNU1-1,54.27
ENSG00000277344.1,RNU1-6P,52.08
ENSG00000186301.8,MST1P2,60.99
ENSG00000207513.1,RNU1-3,54.27
ENSG00000236698.1,EIF1AXP1,38.62
ENSG00000058453.17,CROCC,49.14
ENSG00000207389.1,RNU1-4,54.27
ENSG00000263811.1,MIR3675,41.1
ENSG00000277234.1,RNU1-5P,53.47
ENSG00000207005.1,RNU1-2,54.27
ENSG00000117122.14,MFAP2,62.13
ENSG00000159363.19,ATP13A2,57.23
ENSG00000117118.10,SDHB,43.42
ENSG00000117115.13,PADI2,51.75
ENSG00000204362.6,LINC02783,53.59
ENSG00000142623.11,PADI1,53.3
ENSG00000142619.4,PADI3,51.48
ENSG00000266634.1,MIR3972,60.92
ENSG00000159339.13,PADI4,49.06
ENSG00000276747.1,PADI6,52.07
ENSG00000227751.1,RCC2-AS1,50.4
ENSG00000179051.14,RCC2,51.69
ENSG00000074964.17,ARHGEF10L,54.39
ENSG00000236648.2,LINC02810,51
ENSG00000117148.8,ACTL8,48.15
ENSG00000261781.1,LINC01654,49.52
ENSG00000117154.12,IGSF21,49.91
ENSG00000230035.2,IGSF21-AS1,50.06
ENSG00000235282.3,DYNLL1P3,44.74
ENSG00000009709.12,PAX7,52.36
ENSG00000159423.17,ALDH4A1,55.04
ENSG00000265606.1,MIR4695,70.27
ENSG00000221662.1,MIR1290,39.74
ENSG00000169991.11,IFFO2,54.33
ENSG00000127481.15,UBR4,43.74
ENSG00000053372.5,MRTO4,52.85
ENSG00000162482.5,AKR7A3,54.24
ENSG00000200403.1,RNU6-1099P,40.19
ENSG00000040487.13,SLC66A1,54.93
ENSG00000077549.19,CAPZB,49.21
ENSG00000240490.3,RN7SL277P,55.56
ENSG00000173436.15,MICOS10,45
ENSG00000201609.1,RNU4-28P,36.17
ENSG00000158747.15,NBL1,47.57
ENSG00000270136.6,MICOS10-NBL1,47.16
ENSG00000158748.4,HTR6,53.91
ENSG00000178828.7,RNF186,58.09
ENSG00000169914.6,OTUD3,41.39
ENSG00000188784.4,PLA2G2E,59.6
ENSG00000242688.3,RN7SL304P,54.49
ENSG00000188257.12,PLA2G2A,52.09
ENSG00000127472.11,PLA2G5,44.56
ENSG00000117215.15,PLA2G2D,50.59
ENSG00000158786.5,PLA2G2F,56.01
ENSG00000187980.7,PLA2G2C,51.14
ENSG00000162543.6,UBXN10,47.2
ENSG00000228105.2,LINC01757,44.27
ENSG00000162545.6,CAMK2N1,57.49
ENSG00000090432.7,MUL1,47.5
ENSG00000215520.3,RPS4XP4,46.79
ENSG00000183114.8,FAM43B,67.65
ENSG00000158825.6,CDA,48.46
ENSG00000158828.8,PINK1,50.78
ENSG00000284005.1,MIR6084,77.27
ENSG00000117242.7,PINK1-AS,49.29
ENSG00000244038.11,DDOST,50.61
ENSG00000117245.13,KIF17,52.54
ENSG00000189410.12,SH2D5,61.39
ENSG00000127483.19,HP1BP3,40.94
ENSG00000251914.1,RNU7-200P,35.48
ENSG00000221808.1,MIR1256,42.02
ENSG00000233072.1,RPS15AP6,41.3
ENSG00000235112.1,HSPE1P27,46.29
ENSG00000117298.16,ECE1,52.21
ENSG00000231105.2,ECE1-AS1,51.31
ENSG00000236216.5,PPP1R11P1,57.98
ENSG00000227001.3,NBPF2P,44.45
ENSG00000187952.9,HS6ST1P1,67.1
ENSG00000186543.7,CROCCP5,61.89
ENSG00000142794.19,NBPF3,43.05
ENSG00000176378.8,PFN1P10,56.57
ENSG00000162551.14,ALPL,51.62
ENSG00000233431.1,LINC02596,58.59
ENSG00000090686.16,USP48,41.84
ENSG00000187942.12,LDLRAD2,54.28
ENSG00000142798.20,HSPG2,56.09
ENSG00000219073.8,CELA3B,49.6
ENSG00000273610.1,RN7SL386P,56.23
ENSG00000201919.1,RNU6-1022P,43.27
ENSG00000142789.20,CELA3A,50.62
ENSG00000278124.1,RN7SL186P,55.89
ENSG00000201273.1,RNU6-776P,43.27
ENSG00000228397.3,LINC01635,54.4
ENSG00000285752.1,CDC42-AS1,47.3
ENSG00000230068.2,CDC42-IT1,41.02
ENSG00000271428.1,MPHOSPH6P1,37.5
ENSG00000162552.15,WNT4,57.71
ENSG00000266564.1,MIR4418,53.23
ENSG00000234397.3,PPIAP34,47.36
ENSG00000184677.18,ZBTB40,42.31
ENSG00000237200.1,ZBTB40-IT1,44.07
ENSG00000070886.12,EPHA8,56.84
ENSG00000276835.2,MIR6127,55.05
ENSG00000133216.17,EPHB2,51.95
ENSG00000265422.1,MIR4684,52.44
ENSG00000264014.1,MIR4253,64.71
ENSG00000263793.1,MIR3115,41.18
ENSG00000206935.1,RNU6-514P,38.32
ENSG00000252578.1,RNU6-135P,42.57
ENSG00000261326.4,LINC01355,36.95
ENSG00000125944.21,HNRNPR,38.85
ENSG00000125945.15,ZNF436,46.42
ENSG00000201405.1,Y_RNA,38.71
ENSG00000204219.11,TCEA3,48.57
ENSG00000007968.7,E2F2,51.65
ENSG00000117318.9,ID3,57.04
ENSG00000142676.14,RPL11,46.35
ENSG00000057757.10,PITHD1,44.53
ENSG00000011009.11,LYPLA2,62.28
ENSG00000117308.15,GALE,60.06
ENSG00000117305.15,HMGCL,46.84
ENSG00000179163.12,FUCA1,45.7
ENSG00000188822.8,CNR2,47.63
ENSG00000229106.1,BTBD6P1,58.25
ENSG00000264926.1,MIR378F,52.56
ENSG00000230228.2,H3P1,48.64
ENSG00000189266.13,PNRC2,43.87
ENSG00000188529.15,SRSF10,38.94
ENSG00000142661.19,MYOM3,52.63
ENSG00000230703.1,MYOM3-AS1,50.01
ENSG00000142677.4,IL22RA1,48.41
ENSG00000185436.12,IFNLR1,47.38
ENSG00000230023.2,LINC02800,50.44
ENSG00000232298.2,GRHL3-AS1,46.73
ENSG00000001460.18,STPG1,44.09
ENSG00000001461.17,NIPAL3,44.99
ENSG00000286061.1,RCAN3AS,43.28
ENSG00000117602.13,RCAN3,42.26
ENSG00000264443.1,NCMAP-DT,44.64
ENSG00000184454.7,NCMAP,47.93
ENSG00000239106.1,Y_RNA,40.78
ENSG00000169504.15,CLIC4,41.66
ENSG00000238482.1,RNU6-1208P,37.38
ENSG00000020633.19,RUNX3,54.8
ENSG00000278034.1,MIR6731,59.72
ENSG00000229162.1,RUNX3-AS1,53.34
ENSG00000264371.1,MIR4425,44.05
ENSG00000285823.1,LINC02793,52.42
ENSG00000233419.3,IFITM3P7,56.72
ENSG00000117614.10,SYF2,43.02
ENSG00000117616.18,RSRP1,46.4
ENSG00000187010.21,RHD,46.66
ENSG00000224183.1,SDHDP6,53.96
ENSG00000183726.11,TMEM50A,41.71
ENSG00000188672.19,RHCE,46.8
ENSG00000204178.11,MACO1,40.69
ENSG00000157978.12,LDLRAP1,54.6
ENSG00000117640.18,MTFR1L,49.43
ENSG00000127423.11,AUNIP,42.54
ENSG00000182749.6,PAQR7,52.5
ENSG00000207302.1,Y_RNA,41.82
ENSG00000117632.23,STMN1,48.24
ENSG00000229786.1,SNRPFP2,43.43
ENSG00000283938.1,MIR3917,70.97
ENSG00000158006.14,PAFAH2,45.67
ENSG00000207237.1,RNU6-110P,42.31
ENSG00000158008.10,EXTL1,55.41
ENSG00000158014.15,SLC30A2,55.84
ENSG00000158022.7,TRIM63,49.92
ENSG00000175087.10,PDIK1L,43.08
ENSG00000197245.6,FAM110D,58.17
ENSG00000282872.2,C1orf232,55.91
ENSG00000142684.9,ZNF593,62.53
ENSG00000142675.18,CNKSR1,55.16
ENSG00000188782.9,CATSPER4,50.8
ENSG00000130695.16,CEP85,44.68
ENSG00000142669.15,SH3BGRL3,61.93
ENSG00000169442.9,CD52,54.56
ENSG00000176083.18,ZNF683,52.46
ENSG00000131914.11,LIN28A,46.56
ENSG00000225891.2,DHDDS-AS1,46.49
ENSG00000198830.11,HMGN2,47.23
ENSG00000224129.1,DPPA2P2,44.15
ENSG00000117676.14,RPS6KA1,53.51
ENSG00000238705.1,MIR1976,61.54
ENSG00000243905.3,RN7SL679P,54.61
ENSG00000252802.1,Y_RNA,44.12
ENSG00000252429.2,RNU7-29P,34.38
ENSG00000241188.3,RN7SL165P,50.17
ENSG00000204160.12,ZDHHC18,51.6
ENSG00000175793.12,SFN,62.77
ENSG00000142751.15,GPN2,48.73
ENSG00000198746.13,GPATCH3,50.12
ENSG00000090273.14,NUDC,48.43
ENSG00000131910.5,NR0B2,53.56
ENSG00000172746.6,RPL12P13,51.79
ENSG00000225294.1,OSTCP2,42.12
ENSG00000253368.4,TRNP1,55.83
ENSG00000158246.8,TENT5B,55.52
ENSG00000090020.11,SLC9A1,51.7
ENSG00000214973.3,CHCHD3P3,50.78
ENSG00000225159.1,NPM1P39,41.41
ENSG00000225990.2,SNRPEP7,40.91
ENSG00000142784.16,WDTC1,46.47
ENSG00000252098.1,Y_RNA,39.42
ENSG00000206888.1,RNU6-48P,45.79
ENSG00000241547.1,ACTG1P20,55.56
ENSG00000142765.18,SYTL1,58.24
ENSG00000174950.11,CD164L2,60.25
ENSG00000181773.7,GPR3,58.06
ENSG00000158195.11,WASF2,44.01
ENSG00000126705.15,AHDC1,56.39
ENSG00000000938.13,FGR,52.92
ENSG00000206767.1,RNU6-949P,40.19
ENSG00000226662.2,CHMP1AP1,56.19
ENSG00000207095.1,RNU6-424P,36.19
ENSG00000009780.16,FAM76A,43.38
ENSG00000230833.1,RPEP3,46.01
ENSG00000117758.14,STX12,41.39
ENSG00000223062.1,RNU6-1245P,45.28
ENSG00000117751.18,PPP1R8,44.43
ENSG00000252947.1,SCARNA1,40.36
ENSG00000130775.16,THEMIS2,54.04
ENSG00000117748.10,RPA2,44.15
ENSG00000130768.15,SMPDL3B,49.86
ENSG00000158156.9,XKR8,55.47
ENSG00000158161.16,EYA3,39.51
ENSG00000240750.3,RN7SL559P,55.22
ENSG00000228589.3,SPCS2P4,45.96
ENSG00000253005.1,RNU6-176P,38.1
ENSG00000169403.12,PTAFR,48
ENSG00000126698.11,DNAJC8,43.16
ENSG00000130770.18,ATP5IF1,44.37
ENSG00000130766.5,SESN2,50.07
ENSG00000130772.14,MED18,46.05
ENSG00000204138.13,PHACTR4,42.87
ENSG00000206779.1,Y_RNA,43.56
ENSG00000221216.1,RNU6ATAC27P,47.06
ENSG00000242125.3,SNHG3,46.41
ENSG00000274266.1,SNORA73A,56.31
ENSG00000200087.1,SNORA73B,54.9
ENSG00000231468.2,PRDX3P2,48.79
ENSG00000180098.9,TRNAU1AP,47.61
ENSG00000221539.1,SNORD99,47.3
ENSG00000278274.1,SNORA61,45.38
ENSG00000273544.1,SNORA44,50.76
ENSG00000280498.1,SNORA16A,48.15
ENSG00000274582.1,SNORA16A,48.91
ENSG00000274978.1,RNU11,51.49
ENSG00000162419.13,GMEB1,45.92
ENSG00000198492.16,YTHDF2,43.57
ENSG00000199756.1,Y_RNA,37.27
ENSG00000206704.1,Y_RNA,45.54
ENSG00000277958.1,Metazoa_SRP,56.74
ENSG00000253304.2,TMEM200B,64.51
ENSG00000116353.16,MECR,48.2
ENSG00000060656.20,PTPRU,51.58
ENSG00000230523.1,LINC01756,47.84
ENSG00000233399.2,LINC01648,42.71
ENSG00000162510.6,MATN1,56.37
ENSG00000162511.8,LAPTM5,52.6
ENSG00000264773.1,MIR4420,49.35
ENSG00000222784.1,RN7SKP91,52.43
ENSG00000162512.16,SDC3,55.72
ENSG00000266210.2,RN7SL371P,51.69
ENSG00000134644.16,PUM1,41.05
ENSG00000215900.4,SELENOWP1,50.7
ENSG00000084628.10,NKAIN1,50.64
ENSG00000060688.13,SNRNP40,42.02
ENSG00000121766.16,ZCCHC17,41.86
ENSG00000121769.8,FABP3,50.58
ENSG00000168528.12,SERINC2,52.8
ENSG00000206981.1,RNU6-40P,45.79
ENSG00000260386.6,LDC1P,53.58
ENSG00000265961.1,Y_RNA,42.11
ENSG00000284543.1,LINC01226,46.24
ENSG00000142910.16,TINAGL1,55.48
ENSG00000162517.13,PEF1,48.36
ENSG00000235790.7,PEF1-AS1,50.48
ENSG00000084636.18,COL16A1,56
ENSG00000266580.1,MIR4254,65.79
ENSG00000184007.22,PTP4A2,41.84
ENSG00000121774.18,KHDRBS1,43.61
ENSG00000121775.18,TMEM39B,48.85
ENSG00000266203.1,MIR5585,50.85
ENSG00000276493.1,Metazoa_SRP,51.89
ENSG00000025800.14,KPNA6,44.21
ENSG00000084652.16,TXLNA,50.29
ENSG00000160051.12,IQCC,55.31
ENSG00000160055.20,TMEM234,51.46
ENSG00000084623.12,EIF3I,51.24
ENSG00000183615.6,FAM167B,60.18
ENSG00000277617.1,Metazoa_SRP,53.08
ENSG00000252450.1,Y_RNA,39.09
ENSG00000116478.12,HDAC1,46.79
ENSG00000175130.7,MARCKSL1,63.72
ENSG00000162526.7,TSSK3,54.7
ENSG00000160058.19,BSDC1,48.05
ENSG00000224333.1,GAPDHP20,49.16
ENSG00000229259.1,LRRC37A12P,51.06
ENSG00000263529.2,RN7SL122P,52.82
ENSG00000273274.2,ZBTB8B,45.12
ENSG00000160062.15,ZBTB8A,43.45
ENSG00000200591.1,Y_RNA,38.24
ENSG00000162521.19,RBBP4,42.94
ENSG00000162520.15,SYNC,47.85
ENSG00000162522.11,KIAA1522,54.42
ENSG00000116497.18,S100PBP,41.44
ENSG00000160097.20,FNDC5,54.01
ENSG00000121905.10,HPCA,57.12
ENSG00000121900.19,TMEM54,57.33
ENSG00000116514.17,RNF19B,44.5
ENSG00000276645.1,Metazoa_SRP,49.86
ENSG00000142920.17,AZIN2,46.14
ENSG00000116525.14,TRIM62,51.85
ENSG00000160094.15,ZNF362,50.58
ENSG00000184389.9,A3GALT2,54.19
ENSG00000284154.1,MIR3605,55
ENSG00000222112.1,RN7SKP16,54.18
ENSG00000233246.1,PHC2-AS1,45.95
ENSG00000234512.1,TLR12P,56.32
ENSG00000227000.2,HSPD1P14,39.93
ENSG00000231163.6,CSMD2-AS1,42.56
ENSG00000201148.1,RNA5SP42,49.57
ENSG00000142698.15,C1orf94,47.51
ENSG00000207941.1,MIR552,37.5
ENSG00000163866.9,SMIM12,47.94
